"Pathway","Bacterium","Value","Map","Pathway_Class"
"Metabolic pathways","Acidipropionibacterium acidipropionici WSH1105",125.55,"map01100","Metabolic pathways"
"Biosynthesis of secondary metabolites","Acidipropionibacterium acidipropionici WSH1105",61.67,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Acidipropionibacterium acidipropionici WSH1105",34.74,"map01120","Microbial metabolism in diverse environments"
"Porphyrin and chlorophyll metabolism","Acidipropionibacterium acidipropionici WSH1105",9.43,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"Glycine; serine and threonine metabolism","Acidipropionibacterium acidipropionici WSH1105",7.99,"map00260","Metabolism; Amino acid metabolism"
"Carbon fixation pathways in prokaryotes","Acidipropionibacterium acidipropionici WSH1105",7.47,"map00720","Metabolism; Energy metabolism"
"Purine metabolism","Acidipropionibacterium acidipropionici WSH1105",7.04,"map00230","Metabolism; Nucleotide metabolism"
"Cysteine and methionine metabolism","Acidipropionibacterium acidipropionici WSH1105",6.7,"map00270","Metabolism; Amino acid metabolism"
"Glyoxylate and dicarboxylate metabolism","Acidipropionibacterium acidipropionici WSH1105",6.48,"map00630","Metabolism; Carbohydrate metabolism"
"Propanoate metabolism","Acidipropionibacterium acidipropionici WSH1105",6.45,"map00640","Metabolism; Carbohydrate metabolism"
"Glycolysis / Gluconeogenesis","Acidipropionibacterium acidipropionici WSH1105",5.74,"map00010","Metabolism; Carbohydrate metabolism"
"Alanine; aspartate and glutamate metabolism","Acidipropionibacterium acidipropionici WSH1105",5.72,"map00250","Metabolism; Amino acid metabolism"
"Phenylalanine; tyrosine and tryptophan biosynthesis","Acidipropionibacterium acidipropionici WSH1105",5.61,"map00400","Metabolism; Amino acid metabolism"
"Pyrimidine metabolism","Acidipropionibacterium acidipropionici WSH1105",5.6,"map00240","Metabolism; Nucleotide metabolism"
"Amino sugar and nucleotide sugar metabolism","Acidipropionibacterium acidipropionici WSH1105",5.6,"map00520","Metabolism; Carbohydrate metabolism"
"Pentose and glucuronate interconversions","Acidipropionibacterium acidipropionici WSH1105",5.44,"map00040","Metabolism; Carbohydrate metabolism"
