"Group","bacteria","pathway","genus"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Glycolysis / Gluconeogenesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Citrate cycle (TCA cycle)","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Pentose phosphate pathway","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Pentose and glucuronate interconversions","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Fructose and mannose metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Galactose metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Oxidative phosphorylation","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Photosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Arginine biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Purine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Pyrimidine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Alanine; aspartate and glutamate metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Glycine; serine and threonine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Cysteine and methionine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Valine; leucine and isoleucine degradation","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Lysine biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Tyrosine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Taurine and hypotaurine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Selenocompound metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","D-Amino acid metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Glutathione metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Starch and sucrose metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Amino sugar and nucleotide sugar metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","O-Antigen nucleotide sugar biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Peptidoglycan biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Glycerophospholipid metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Pyruvate metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Propanoate metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Butanoate metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","One carbon pool by folate","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Methane metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Carbon fixation in photosynthetic organisms","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Carbon fixation pathways in prokaryotes","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Thiamine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Riboflavin metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Nicotinate and nicotinamide metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Pantothenate and CoA biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Porphyrin and chlorophyll metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Terpenoid backbone biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Nitrogen metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Aminoacyl-tRNA biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Drug metabolism - other enzymes","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Glycolysis / Gluconeogenesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Citrate cycle (TCA cycle)","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Pentose phosphate pathway","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Pentose and glucuronate interconversions","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Fructose and mannose metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Galactose metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Oxidative phosphorylation","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Photosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Arginine biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Purine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Pyrimidine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Alanine; aspartate and glutamate metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Glycine; serine and threonine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Cysteine and methionine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Valine; leucine and isoleucine degradation","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Lysine biosynthesis","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Tyrosine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Taurine and hypotaurine metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","Selenocompound metabolism","Acidipropionibacterium"
"Group1","Acidipropionibacterium jensenii FAM 19038","D-Amino acid metabolism","Acidipropionibacterium"
