"Group","bacteria","pathway"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Glycolysis / Gluconeogenesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Citrate cycle (TCA cycle)"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Pentose phosphate pathway"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Pentose and glucuronate interconversions"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Fructose and mannose metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Galactose metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Fatty acid biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Ubiquinone and other terpenoid-quinone biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Oxidative phosphorylation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Photosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Arginine biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Purine metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Pyrimidine metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Alanine; aspartate and glutamate metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Glycine; serine and threonine metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Monobactam biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Cysteine and methionine metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Valine; leucine and isoleucine degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Valine; leucine and isoleucine biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Lysine biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Lysine degradation"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Arginine and proline metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Carbapenem biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Histidine metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Tyrosine metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Phenylalanine metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Tryptophan metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Phenylalanine; tyrosine and tryptophan biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Novobiocin biosynthesis"
"Group1","Acidipropionibacterium acidipropionici WSH1105","beta-Alanine metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Taurine and hypotaurine metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Selenocompound metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Cyanoamino acid metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","D-Amino acid metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Glutathione metabolism"
"Group1","Acidipropionibacterium acidipropionici WSH1105","Starch and sucrose metabolism"
