"count_class","bacteria","pathway_class","count_sum","count_percentage%"
94,"Bacillus clausii UBBC-07","Metabolism; Carbohydrate metabolism",1056,8.90151515151515
318,"Bacillus clausii UBBC-07","Metabolic pathways",1056,30.1136363636364
82,"Bacillus clausii UBBC-07","Microbial metabolism in diverse environments",1056,7.76515151515152
39,"Bacillus clausii UBBC-07","Metabolism; Energy metabolism",1056,3.69318181818182
152,"Bacillus clausii UBBC-07","Biosynthesis of secondary metabolites",1056,14.3939393939394
107,"Bacillus clausii UBBC-07","Metabolism; Amino acid metabolism",1056,10.1325757575758
28,"Bacillus clausii UBBC-07","Metabolism; Metabolism of other amino acids",1056,2.65151515151515
85,"Bacillus clausii UBBC-07","Metabolism; Metabolism of cofactors and vitamins",1056,8.04924242424242
12,"Bacillus clausii UBBC-07","Metabolism; Metabolism of terpenoids and polyketides",1056,1.13636363636364
14,"Bacillus clausii UBBC-07","Metabolism; Glycan biosynthesis and metabolism",1056,1.32575757575758
21,"Bacillus clausii UBBC-07","Genetic Information Processing; Translation",1056,1.98863636363636
55,"Bacillus clausii UBBC-07","Metabolism; Nucleotide metabolism",1056,5.20833333333333
14,"Bacillus clausii UBBC-07","Metabolism; Biosynthesis of other secondary metabolites",1056,1.32575757575758
17,"Bacillus clausii UBBC-07","Metabolism; Lipid metabolism",1056,1.60984848484848
16,"Bacillus clausii UBBC-07","Metabolism; Xenobiotics biodegradation and metabolism",1056,1.51515151515152
1,"Bacillus clausii UBBC-07","Human Diseases; Cancer: overview",1056,0.0946969696969697
1,"Bacillus clausii UBBC-07","Human Diseases; Infectious disease: viral",1056,0.0946969696969697
93,"Bacillus coagulans GBI-30(6086)","Metabolism; Carbohydrate metabolism",1068,8.70786516853933
313,"Bacillus coagulans GBI-30(6086)","Metabolic pathways",1068,29.3071161048689
84,"Bacillus coagulans GBI-30(6086)","Microbial metabolism in diverse environments",1068,7.86516853932584
39,"Bacillus coagulans GBI-30(6086)","Metabolism; Energy metabolism",1068,3.65168539325843
168,"Bacillus coagulans GBI-30(6086)","Biosynthesis of secondary metabolites",1068,15.7303370786517
100,"Bacillus coagulans GBI-30(6086)","Metabolism; Amino acid metabolism",1068,9.36329588014981
26,"Bacillus coagulans GBI-30(6086)","Metabolism; Metabolism of other amino acids",1068,2.43445692883895
83,"Bacillus coagulans GBI-30(6086)","Metabolism; Metabolism of cofactors and vitamins",1068,7.77153558052434
20,"Bacillus coagulans GBI-30(6086)","Metabolism; Metabolism of terpenoids and polyketides",1068,1.87265917602996
15,"Bacillus coagulans GBI-30(6086)","Metabolism; Glycan biosynthesis and metabolism",1068,1.40449438202247
21,"Bacillus coagulans GBI-30(6086)","Genetic Information Processing; Translation",1068,1.96629213483146
54,"Bacillus coagulans GBI-30(6086)","Metabolism; Nucleotide metabolism",1068,5.0561797752809
13,"Bacillus coagulans GBI-30(6086)","Metabolism; Biosynthesis of other secondary metabolites",1068,1.21722846441948
18,"Bacillus coagulans GBI-30(6086)","Metabolism; Lipid metabolism",1068,1.68539325842697
19,"Bacillus coagulans GBI-30(6086)","Metabolism; Xenobiotics biodegradation and metabolism",1068,1.77902621722846
1,"Bacillus coagulans GBI-30(6086)","Human Diseases; Cancer: overview",1068,0.0936329588014981
1,"Bacillus coagulans GBI-30(6086)","Human Diseases; Infectious disease: viral",1068,0.0936329588014981
94,"Bacillus coagulans Unique IS-2","Metabolism; Carbohydrate metabolism",1074,8.75232774674116
315,"Bacillus coagulans Unique IS-2","Metabolic pathways",1074,29.3296089385475
84,"Bacillus coagulans Unique IS-2","Microbial metabolism in diverse environments",1074,7.82122905027933
39,"Bacillus coagulans Unique IS-2","Metabolism; Energy metabolism",1074,3.63128491620112
169,"Bacillus coagulans Unique IS-2","Biosynthesis of secondary metabolites",1074,15.7355679702048
101,"Bacillus coagulans Unique IS-2","Metabolism; Amino acid metabolism",1074,9.40409683426443
26,"Bacillus coagulans Unique IS-2","Metabolism; Metabolism of other amino acids",1074,2.42085661080074
83,"Bacillus coagulans Unique IS-2","Metabolism; Metabolism of cofactors and vitamins",1074,7.72811918063315
20,"Bacillus coagulans Unique IS-2","Metabolism; Metabolism of terpenoids and polyketides",1074,1.86219739292365
15,"Bacillus coagulans Unique IS-2","Metabolism; Glycan biosynthesis and metabolism",1074,1.39664804469274
21,"Bacillus coagulans Unique IS-2","Genetic Information Processing; Translation",1074,1.95530726256983
54,"Bacillus coagulans Unique IS-2","Metabolism; Nucleotide metabolism",1074,5.02793296089385
14,"Bacillus coagulans Unique IS-2","Metabolism; Biosynthesis of other secondary metabolites",1074,1.30353817504655
18,"Bacillus coagulans Unique IS-2","Metabolism; Lipid metabolism",1074,1.67597765363128
19,"Bacillus coagulans Unique IS-2","Metabolism; Xenobiotics biodegradation and metabolism",1074,1.76908752327747
1,"Bacillus coagulans Unique IS-2","Human Diseases; Cancer: overview",1074,0.0931098696461825
1,"Bacillus coagulans Unique IS-2","Human Diseases; Infectious disease: viral",1074,0.0931098696461825
133,"Bacillus subtilis KATMIRA1933","Metabolism; Carbohydrate metabolism",1248,10.6570512820513
386,"Bacillus subtilis KATMIRA1933","Metabolic pathways",1248,30.9294871794872
93,"Bacillus subtilis KATMIRA1933","Microbial metabolism in diverse environments",1248,7.45192307692308
42,"Bacillus subtilis KATMIRA1933","Metabolism; Energy metabolism",1248,3.36538461538462
176,"Bacillus subtilis KATMIRA1933","Biosynthesis of secondary metabolites",1248,14.1025641025641
123,"Bacillus subtilis KATMIRA1933","Metabolism; Amino acid metabolism",1248,9.85576923076923
31,"Bacillus subtilis KATMIRA1933","Metabolism; Metabolism of other amino acids",1248,2.48397435897436
89,"Bacillus subtilis KATMIRA1933","Metabolism; Metabolism of cofactors and vitamins",1248,7.13141025641026
15,"Bacillus subtilis KATMIRA1933","Metabolism; Metabolism of terpenoids and polyketides",1248,1.20192307692308
19,"Bacillus subtilis KATMIRA1933","Metabolism; Glycan biosynthesis and metabolism",1248,1.5224358974359
19,"Bacillus subtilis KATMIRA1933","Genetic Information Processing; Translation",1248,1.5224358974359
58,"Bacillus subtilis KATMIRA1933","Metabolism; Nucleotide metabolism",1248,4.6474358974359
24,"Bacillus subtilis KATMIRA1933","Metabolism; Biosynthesis of other secondary metabolites",1248,1.92307692307692
20,"Bacillus subtilis KATMIRA1933","Metabolism; Lipid metabolism",1248,1.6025641025641
18,"Bacillus subtilis KATMIRA1933","Metabolism; Xenobiotics biodegradation and metabolism",1248,1.44230769230769
1,"Bacillus subtilis KATMIRA1933","Human Diseases; Cancer: overview",1248,0.0801282051282051
1,"Bacillus subtilis KATMIRA1933","Human Diseases; Infectious disease: viral",1248,0.0801282051282051
44,"Bifidobacterium animalis subsp. Lactis AD011","Metabolism; Carbohydrate metabolism",581,7.57314974182444
169,"Bifidobacterium animalis subsp. Lactis AD011","Metabolic pathways",581,29.0877796901893
40,"Bifidobacterium animalis subsp. Lactis AD011","Microbial metabolism in diverse environments",581,6.88468158347676
