Bacteria,Filename
Acinetobacter calcoaceticus CA 16,GCF_002055515.1_ASM205551v1_genomic.gbff
Akkermansia muciniphila JCM 30893,GCF_009731575.1_ASM973157v1_genomic.gbff
Arthrobacter globiformis NBRC 12137,GCF_000238915.1_ASM23891v2_genomic.gbff
Cellulosimicrobium cellulans NEB113,GCF_007362135.1_ASM736213v1_genomic.gbff
Pimelobacter simplex VKM Ac-2033D,GCF_000785495.1_ASM78549v1_genomic.gbff
Atopobium minutum 10063974,GCF_000364325.1_Atop_minu_V1_genomic.gbff
Azospirillum brasilense Sp 7,GCF_007827425.1_ASM782742v1_genomic.gbff
Azospirillum lipoferum 59b,GCF_008364955.1_ASM836495v1_genomic.gbff
Azotobacter chroococcum B3,GCF_002220155.1_ASM222015v1_genomic.gbff
Bacillus amyloliquefaciens WF02,GCF_013122255.1_ASM1312225v1_genomic.gbff
Bacillus cereus B4264,GCF_000021205.1_ASM2120v1_genomic.gbff
Alkalihalobacillus clausii 7520-2,GCF_002272085.1_assembly-7520-2_v1_genomic.gbff
Weizmannia coagulans B4099,GCF_001587215.1_B4099_genomic.gbff
Bacillus licheniformis DSM 13 = ATCC 14580,GCF_000011645.1_ASM1164v1_genomic.gbff
Paenibacillus macerans NCTC6355,GCF_900454495.1_49508_F02_genomic.gbff
Priestia megaterium BHS1,GCF_015582655.1_ASM1558265v1_genomic.gbff
Bacillus mojavensis UCMB5075,GCF_012648005.1_ASM1264800v1_genomic.gbff
Bacillus pumilus LLTC96,GCF_002998365.1_ASM299836v1_genomic.gbff
Bacillus subtilis subsp. subtilis str. 168,GCF_000009045.1_ASM904v1_genomic.gbff
Bacteroides fragilis BE1,GCF_001286525.1_BFBE1.1_genomic.gbff
Fibrobacter succinogenes subsp. elongatus HM2,GCF_003149165.1_ASM314916v1_genomic.gbff
Bifidobacterium adolescentis 1-11,GCF_003030905.1_ASM303090v1_genomic.gbff
Bifidobacterium animalis subsp. lactis 1528B,GCF_004154555.1_ASM415455v1_genomic.gbff
